movie_title,imdb_score,profit
"Due Date",6.6,35448498
Unbroken,7.2,50603980
"Space Cowboys",6.4,25454043
Cliffhanger,6.4,14049211
"Broken Arrow",6,20450000
"The Kid",6.1,9688384
"World Trade Center",6,7236496
"Mona Lisa Smile",6.4,-1304240
"The Dictator",6.4,-5382932
"Eyes Wide Shut",7.3,-9362320
Annie,5.2,20911262
Focus,6.6,3746915
"This Means War",6.3,-10241539
"Blade: Trinity",5.9,-12602611
"Red Dawn",6.4,NULL
"Primary Colors",6.7,-26033943
"Resident Evil: Retribution",5.4,-22654469
"Death Race",6.4,-8935090
"The Long Kiss Goodnight",6.7,-31671949
"Proof of Life",6.2,-32401069
"Zathura: A Space Adventure",6.1,-36954460
"Fight Club",8.8,"Quality Anomaly"
"We Are Marshall",7.1,-21467706
"The Missing",8.1,NULL
"Hudson Hawk",5.7,-52781920
"Lucky Numbers",5,-54985766
"I, Frankenstein",5.1,-45940982
"Oliver Twist",6.9,-48012713
Elektra,4.8,-18592056
"Sin City: A Dame to Kill For",6.5,-51249444
"Random Hearts",5.1,-32945076
Everest,7.1,-11752860
"Perfume: The Story of a Murderer",7.5,-47791061
"Austin Powers in Goldmember",6.2,150079163
"Astro Boy",6.3,-45451936
"Jurassic Park",8.1,293784000
"Wyatt Earp",6.6,-37948000
"Clear and Present Danger",6.9,60012710
"Dragon Blade",6.1,-64927587
Littleman,4.3,-5744713
U-571,6.6,15086030
"The American President",6.8,3000000
"The Love Guru",3.8,-29821223
"3000 Miles to Graceland",5.9,-26261368
"The Hateful Eight",7.9,10116191
"Blades of Glory",6.3,57153533
Hop,5.5,45012170
300,7.7,145592590
"Meet the Fockers",6.3,199167575
"Marley & Me",7.1,83151473
"The Green Mile",8.5,76801374
"Wild Hogs",5.9,NULL
"Chicken Little",5.8,-14618493
"Gone Girl",8.1,106735396
"The Bourne Identity",7.9,61468960
GoldenEye,7.2,48635996
"The General's Daughter",6.3,7678089
"The Truman Show",8.1,65603360
"The Prince of Egypt",7,31217900
"Daddy Day Care",5.5,44148781
"2 Guns",6.7,14573300
"Cats & Dogs",5.2,33375151
"The Italian Job",7,46126012
"Two Weeks Notice",6.1,33307796
Antz,6.6,-14353446
"Couples Retreat",5.5,49176215
"Days of Thunder",5.9,22670733
"Cheaper by the Dozen 2",5.4,22569532
"The Scorch Trials",6.4,20687587
"Eat Pray Love",5.7,20574010
"The Family Man",6.7,15764085
RED,7.1,32356857
